"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Altitude (m)"	"Altitude WGS84 (m)"	"Speed (m/s)"	"Direction (°)"	"Distance (km)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"	"Satellites"
1,213280382E2	6,027961274E1	2,495717078E1	-7,147456449E0	1,206613969E1	1,510527253E0	1,501678014E2	2,375354322E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,223280295E2	6,027959563E1	2,495718250E1	-6,614106727E0	1,259944987E1	1,489487886E0	1,507247351E2	2,388799450E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,233280187E2	6,027958414E1	2,495719015E1	-6,024464827E0	1,318906562E1	1,494215131E0	1,546297181E2	2,403428564E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,243280094E2	6,027957132E1	2,495719606E1	-5,473853638E0	1,373965242E1	1,489487886E0	1,540630583E2	2,416860309E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,253280004E2	6,027955952E1	2,495720127E1	-4,823081546E0	1,439040250E1	1,467458248E0	1,525695418E2	2,429848056E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,263279899E2	6,027954841E1	2,495720853E1	-4,254840721E0	1,495861827E1	1,276198626E0	1,504294933E2	2,440672655E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,273279810E2	6,027954144E1	2,495722225E1	-3,612591918E0	1,560083462E1	1,374231696E0	1,438090592E2	2,452319519E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,283279717E2	6,027953371E1	2,495723651E1	-3,149514216E0	1,606387805E1	1,434457541E0	1,454690411E2	2,466867338E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,293279622E2	6,027952489E1	2,495725599E1	-2,734270100E0	1,647907721E1	1,434457541E0	1,461465959E2	2,484869216E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,303279526E2	6,027951161E1	2,495727467E1	-2,299244642E0	1,691405445E1	1,589152575E0	1,437557018E2	2,505406268E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,313279428E2	6,027949713E1	2,495729779E1	-1,941776278E0	1,727146520E1	1,589152575E0	1,429614737E2	2,524447386E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,323279330E2	6,027948100E1	2,495730943E1	-1,595696138E0	1,761750699E1	1,328622222E0	1,429148919E2	2,540723690E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,333279234E2	6,027946724E1	2,495731948E1	-1,207594235E0	1,800557594E1	1,331676483E0	1,444713963E2	2,549955757E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,343279141E2	6,027946494E1	2,495733557E1	-6,990410074E-1	1,851409731E1	1,331676483E0	1,458466003E2	2,568406728E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,353279049E2	6,027945231E1	2,495735726E1	-3,670315776E-2	1,917638212E1	1,378653049E0	1,443497917E2	2,581529133E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,363278946E2	6,027944157E1	2,495736712E1	7,367776809E-1	1,994983355E1	1,382960677E0	1,464571919E2	2,592732359E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,373278854E2	6,027943434E1	2,495738128E1	1,267541848E0	2,048056417E1	1,339574695E0	1,456249333E2	2,602812887E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,383278755E2	6,027942643E1	2,495739022E1	1,725532213E0	2,093852982E1	1,456558347E0	1,463283882E2	2,620242061E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,393278663E2	6,027941277E1	2,495740574E1	2,132531603E0	2,134548637E1	1,339574695E0	1,467381859E2	2,634186045E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,403278567E2	6,027940107E1	2,495741481E1	2,524137829E0	2,173706362E1	1,404666424E0	1,470125955E2	2,650142000E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,413278474E2	6,027938722E1	2,495742242E1	3,060380113E0	2,227327733E1	1,404666424E0	1,464558805E2	2,658308401E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,423278379E2	6,027938206E1	2,495743297E1	3,378568595E0	2,259144107E1	1,519545674E0	1,480023719E2	2,672981655E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,433278286E2	6,027937069E1	2,495744648E1	3,795503358E0	2,300833908E1	1,519545674E0	1,481929479E2	2,692905468E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,443278189E2	6,027935498E1	2,495746384E1	4,164429349E0	2,337721669E1	1,479056001E0	1,501564906E2	2,707660275E-1	6,000906205E0	6,000906205E0	0,000000000E0
